age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,target
30,0,302140,11,9,4,0,3,2,1,0,0,24,39,1
31,4,390356,11,9,4,14,1,4,1,0,0,40,39,1
57,0,257779,11,9,0,0,4,4,0,0,0,39,39,1
33,4,252365,6,5,5,3,3,4,1,0,0,37,32,1
21,4,303180,15,10,4,1,3,4,1,0,0,25,39,1
44,4,132806,15,10,2,4,0,4,1,0,0,50,26,0
31,5,113454,11,9,4,3,1,4,1,0,0,52,39,1
45,6,120326,15,10,2,4,0,4,1,0,0,39,39,1
50,4,229265,11,9,0,8,2,2,1,0,0,32,15,1
40,6,109278,9,13,2,5,0,4,1,0,0,62,39,1
44,4,95630,15,10,6,4,1,4,0,0,0,45,19,1
53,4,298606,6,5,2,7,0,2,1,3185,0,40,36,1
37,4,185367,11,9,2,1,0,4,1,0,0,45,39,0
22,4,346446,11,9,4,1,1,4,0,0,0,48,30,1
58,4,104612,7,12,2,4,0,4,1,0,0,50,39,0
28,4,194384,12,14,4,4,1,1,0,0,0,41,14,1
23,4,211093,9,13,4,12,3,4,0,0,0,25,39,1
24,4,66622,15,10,4,8,3,4,0,0,0,26,39,1
29,4,200184,11,9,0,1,2,4,0,0,0,40,27,1
27,4,315870,15,10,4,12,1,4,1,0,0,27,39,1
31,4,243690,15,10,4,4,1,4,0,0,0,40,39,1
57,4,328284,11,9,2,1,0,4,1,2438,0,17,39,1
31,4,143768,15,10,4,3,1,4,1,0,0,41,31,1
18,4,279574,1,7,4,10,3,4,0,0,0,11,39,1
41,4,149342,15,10,2,3,0,4,1,0,0,50,39,1
33,4,557033,11,9,4,14,1,4,1,0,0,40,39,1
32,4,247328,4,3,4,8,1,4,1,0,0,40,26,1
52,6,277098,7,12,2,12,0,4,1,3103,0,35,39,0
36,4,184384,11,9,5,3,1,4,1,0,0,37,28,1
44,4,186557,15,10,2,8,0,4,1,0,0,16,39,1
49,5,260989,15,10,2,4,0,4,1,0,0,51,39,0
23,4,47219,15,10,4,1,2,4,0,0,0,42,39,1
33,4,339482,11,9,2,3,0,4,1,0,0,40,37,1
18,4,191508,1,7,4,1,3,4,1,0,0,19,39,1
47,4,219052,11,9,0,8,4,2,0,0,0,40,39,1
57,6,144358,11,9,2,14,0,4,1,0,0,78,39,1
41,4,160391,15,10,2,9,0,4,1,0,0,10,39,1
52,4,43329,1,7,2,3,0,4,1,0,0,41,39,0
31,6,340887,9,13,2,12,0,4,1,0,0,46,39,1
21,4,144187,11,9,4,14,3,4,1,0,0,35,39,1
46,4,123621,15,10,2,12,0,4,1,0,0,46,39,0
40,7,351198,11,9,2,1,0,4,1,0,0,40,39,1
40,2,125474,9,13,2,10,5,4,0,7635,0,40,39,0
41,4,73255,15,10,4,4,1,4,0,2389,0,40,39,1
37,1,29057,15,10,2,1,0,4,1,0,0,42,39,0
34,4,245177,11,9,0,12,1,4,1,0,2000,45,39,1
48,4,264868,9,13,4,1,1,4,1,0,0,44,30,1
36,4,60317,11,9,4,3,4,4,1,0,0,40,39,1
34,2,321043,15,10,2,11,0,4,1,0,0,43,39,1
37,4,75052,15,10,4,3,1,2,1,0,0,52,39,1
21,4,110994,15,10,4,1,3,1,0,0,0,40,32,1
41,4,177538,11,9,5,1,4,4,0,0,0,31,39,1
23,4,183211,1,7,4,8,3,2,1,878,0,31,39,1
48,4,151948,11,9,6,1,4,4,0,0,0,40,39,1
54,4,135339,9,13,2,4,0,1,1,0,0,40,33,0
32,4,43957,11,9,4,1,2,4,0,0,2000,40,39,1
22,2,146634,11,9,4,8,3,4,1,0,0,51,39,1
22,4,70026,1,7,4,8,3,4,1,0,0,26,36,1
48,4,155473,11,9,2,1,0,4,1,0,0,55,39,0
34,6,209299,11,9,2,3,0,4,1,0,0,60,39,1
50,2,363406,15,10,6,1,4,4,0,0,0,43,39,1
48,4,360492,11,9,6,1,4,4,0,0,0,40,39,1
39,4,220423,11,9,0,1,4,4,0,0,0,40,31,1
28,4,169222,1,7,4,6,2,4,1,0,1000,39,35,1
33,4,198189,15,10,0,4,1,4,0,0,0,43,39,1
29,4,133985,0,6,4,3,3,2,0,0,0,51,39,1
35,6,167724,15,10,4,8,4,4,0,0,0,42,39,1
48,4,29696,11,9,2,4,0,4,1,0,0,40,39,0
44,4,156750,15,10,2,3,0,2,1,0,0,40,39,1
32,4,55426,11,9,4,8,3,4,1,0,0,37,39,1
52,7,48266,11,9,2,3,0,4,1,3137,0,51,39,0
32,4,215277,9,13,2,8,0,4,1,0,0,44,39,1
17,4,286993,1,7,4,10,3,4,1,0,0,36,39,1
41,4,46396,9,13,2,4,0,4,1,0,0,36,33,1
45,6,326268,9,13,2,5,0,4,1,0,0,52,39,0
28,7,34859,15,10,2,1,0,1,1,0,0,38,8,1
45,4,29449,15,10,0,12,4,4,0,0,0,52,39,1
32,4,202450,11,9,2,7,0,4,1,0,0,49,39,1
30,4,22423,11,9,4,4,1,4,1,0,0,40,39,1
46,1,362755,7,12,2,10,0,4,1,0,0,40,23,0
35,4,177117,15,10,0,1,4,4,0,0,0,36,39,1
49,4,31577,9,13,2,14,0,4,1,0,0,31,39,1
48,6,180998,11,9,2,5,0,4,1,0,0,54,39,1
47,4,156915,15,10,2,4,0,4,1,0,0,62,39,0
24,4,208930,9,13,4,12,3,4,1,0,0,34,39,1
46,2,169345,12,14,2,10,5,2,0,4461,0,35,39,0
45,4,247857,15,10,5,14,4,4,1,0,0,48,39,0
64,4,156002,0,6,6,8,4,2,0,0,0,24,39,1
47,4,212940,15,10,2,3,0,4,1,0,0,55,39,0
42,4,183321,11,9,0,3,1,4,1,0,0,43,39,0
21,4,199915,15,10,4,8,3,4,0,0,0,34,39,1
50,6,170562,7,12,2,11,0,4,1,0,0,20,39,1
27,4,216012,11,9,5,4,3,4,0,0,0,40,39,1
36,4,191771,15,10,4,1,4,2,0,0,1000,40,18,1
40,4,125461,11,9,2,6,0,4,1,0,0,41,39,1
40,4,183088,7,12,4,1,1,2,0,0,0,40,39,1
46,1,125522,12,14,2,4,2,4,1,15024,0,44,39,0
62,4,285605,1,7,0,7,1,4,0,0,0,40,39,1
61,4,24967,6,5,2,11,0,4,1,0,0,47,39,1
41,2,36944,15,10,2,1,0,4,1,0,0,49,39,0
40,5,212986,15,10,2,4,0,4,1,0,0,54,39,1
25,4,251592,15,10,4,8,4,4,0,0,0,22,39,1
49,4,192515,1,7,2,1,0,4,1,7480,0,40,39,0
43,6,161596,9,13,3,4,1,4,1,0,2000,56,39,1
46,4,200572,15,10,2,12,0,4,1,0,0,36,39,1
39,0,397343,7,12,0,0,1,4,1,0,0,40,39,1
34,7,159230,12,14,2,10,0,4,1,0,0,49,39,1
27,4,50315,12,14,4,12,1,4,0,0,0,28,39,1
23,4,236783,9,13,4,4,1,4,1,0,0,32,39,1
47,4,101314,11,9,0,1,4,4,0,0,0,40,37,1
18,4,421357,1,7,4,6,3,4,1,0,0,20,39,1
52,4,298011,7,12,4,4,1,1,0,0,0,42,39,1
35,3,176668,11,9,2,0,5,2,0,0,0,40,39,1
50,2,182710,9,13,2,11,0,1,1,0,0,49,32,1
33,7,210474,12,14,2,4,0,4,1,0,0,39,39,1
30,4,298872,1,7,4,12,3,4,1,0,0,29,39,1
28,4,256681,11,9,2,1,5,4,0,0,0,40,35,1
